campaign_rank,company_name,slug,url,status,sample_data_note
2,Jackson Hotel Management,jackson,http://hotelmorningreport.com/a/jackson/,live_static_page_generated,Illustrative metrics only; do not represent as real account analysis.
18,Pacifica Hotels,pacifica,http://hotelmorningreport.com/a/pacifica/,live_static_page_generated,Illustrative metrics only; do not represent as real account analysis.
25,"Lark (Lark Hotels, LLC)",lark-lark,http://hotelmorningreport.com/a/lark-lark/,live_static_page_generated,Illustrative metrics only; do not represent as real account analysis.
45,Trust Hospitality LLC,trust,http://hotelmorningreport.com/a/trust/,live_static_page_generated,Illustrative metrics only; do not represent as real account analysis.
26,Casetta Hotels,casetta,http://hotelmorningreport.com/a/casetta/,live_static_page_generated,Illustrative metrics only; do not represent as real account analysis.
38,Maximum Hospitality,maximum,http://hotelmorningreport.com/a/maximum/,live_static_page_generated,Illustrative metrics only; do not represent as real account analysis.
43,General Hotels Corporation,general,http://hotelmorningreport.com/a/general/,live_static_page_generated,Illustrative metrics only; do not represent as real account analysis.
50,Staypineapple Hotels Inc.,staypineapple,http://hotelmorningreport.com/a/staypineapple/,live_static_page_generated,Illustrative metrics only; do not represent as real account analysis.
4,Artemis Hospitality,artemis,http://hotelmorningreport.com/a/artemis/,live_static_page_generated,Illustrative metrics only; do not represent as real account analysis.
